,precision,recall,f1-score,support
Amoebiasis,0.9791666666666666,0.5595238095238095,0.7121212121212122,84.0
Cholera,0.0,0.0,0.0,84.0
Dengue,0.9010989010989011,0.9761904761904762,0.9371428571428572,84.0
HepatitisA,0.7777777777777778,0.08333333333333333,0.15053763440860216,84.0
Malaria,0.6931818181818182,0.7176470588235294,0.7052023121387283,85.0
NoDisease,0.6484593837535014,0.9168316831683169,0.7596390484003281,505.0
Typhoid,0.5666666666666667,0.40476190476190477,0.4722222222222222,84.0
accuracy,0.6871287128712872,0.6871287128712872,0.6871287128712872,0.6871287128712872
macro avg,0.6523358877350474,0.5226126094001956,0.5338378980619929,1010.0
weighted avg,0.6507604795709048,0.6871287128712872,0.628128639355573,1010.0
